Data,Zamkniecie
2021-02-22,54207.31906543
2021-02-23,48824.42686909
2021-02-24,49705.33331637
2021-02-25,47093.85301914
2021-02-26,46339.76008289
2021-02-27,46188.45127539
2021-02-28,45137.77046805
2021-03-01,49631.24137077
2021-03-02,48378.98805435
2021-03-03,50538.24341445
2021-03-04,48561.1661539
2021-03-05,48927.3045548
2021-03-06,48912.38173056
2021-03-07,51206.69295308
2021-03-08,52246.52230995
2021-03-09,54824.11781138
2021-03-10,56008.54940114
2021-03-11,57805.12301924
2021-03-12,57332.08896391
2021-03-13,61243.08476552
2021-03-14,59302.31697742
2021-03-15,55907.20022619
2021-03-16,56804.90123161
2021-03-17,58870.89333325
2021-03-18,57858.92070527
2021-03-19,58346.65297359
2021-03-20,58313.64260857
2021-03-21,57523.42098673
2021-03-22,54529.14561107
2021-03-23,54738.94493032
2021-03-24,52774.26369049
2021-03-25,51704.1619252
2021-03-26,55137.31372578
2021-03-27,55973.51084173
2021-03-28,55950.7457745
2021-03-29,57750.19987147
2021-03-30,58917.6930451
2021-03-31,58918.83271375
2021-04-01,59095.80797806
2021-04-02,59384.3133586
2021-04-03,57603.88917376
2021-04-04,58758.55629127
2021-04-05,59057.87896588
2021-04-06,58192.35868406
2021-04-07,56048.93781271
2021-04-08,58323.95357975
2021-04-09,58245.00300108
2021-04-10,59793.23541009
2021-04-11,60204.96491379
2021-04-12,59893.45188869
2021-04-13,63503.45793019
2021-04-14,63109.69593464
2021-04-15,63314.01084504
2021-04-16,61572.78960116
2021-04-17,60683.82123331
2021-04-18,56216.18500243
2021-04-19,55724.26709807
2021-04-20,56473.0322808
2021-04-21,53906.08804584
2021-04-22,51762.27205146
2021-04-23,51093.65070999
2021-04-24,50050.86821565
2021-04-25,49004.25326318
2021-04-26,54021.75478737
2021-04-27,55033.11801332
2021-04-28,54824.70489507
2021-04-29,53555.10849133
2021-04-30,57750.17734563
2021-05-01,57828.05063222
2021-05-02,56631.07741255
2021-05-03,57200.29122289
2021-05-04,53333.53775274
2021-05-05,57424.00594813
2021-05-06,56396.51416376
2021-05-07,57356.40187692
2021-05-08,58803.77580865
2021-05-09,58232.3161419
2021-05-10,55859.79754454
2021-05-11,56704.5730585
2021-05-12,49150.53387514
2021-05-13,49716.19160254
2021-05-14,49880.53342038
2021-05-15,46760.18656071
2021-05-16,46456.05847448
2021-05-17,43537.51138918
2021-05-18,42909.40092517
2021-05-19,37002.4404659
2021-05-20,40782.73826245
2021-05-21,37304.69067136
2021-05-22,37536.63111241
2021-05-23,34770.58362292
2021-05-24,38705.97863723
2021-05-25,38402.22385137
2021-05-26,39294.19738214
2021-05-27,38436.96853505
2021-05-28,35697.60639024
2021-05-29,34616.06800347
2021-05-30,35678.12920411
2021-05-31,37332.85368874
2021-06-01,36684.92451667
2021-06-02,37575.17957566
2021-06-03,39208.76599489
2021-06-04,36894.40532994
2021-06-05,35551.95872588
2021-06-06,35862.37772747
2021-06-07,33560.70783776
2021-06-08,33472.63174808
2021-06-09,37345.12148619
2021-06-10,36702.59937466
2021-06-11,37334.39952553
2021-06-12,35552.51714847
2021-06-13,39097.86089667
2021-06-14,40218.47785943
2021-06-15,40406.26898673
2021-06-16,38347.06322666
2021-06-17,38053.50417253
2021-06-18,35787.24478177
2021-06-19,35615.86927002
2021-06-20,35698.29644336
2021-06-21,31676.69373254
2021-06-22,32505.6598245
2021-06-23,33723.0289781
2021-06-24,34662.43589358
2021-06-25,31637.78005541
2021-06-26,32186.27767093
2021-06-27,34649.64458753
2021-06-28,34434.33531428
2021-06-29,35867.77773549
2021-06-30,35040.83724889
2021-07-01,33572.11765253
2021-07-02,33897.04858963
2021-07-03,34668.54840182
2021-07-04,35287.77976616
2021-07-05,33746.00245614
2021-07-06,34235.19345116
2021-07-07,33855.32688833
2021-07-08,32877.37262842
2021-07-09,33798.01020742
2021-07-10,33520.51995283
2021-07-11,34240.18701074
2021-07-12,33155.84813085
2021-07-13,32702.02592354
2021-07-14,32822.34873678
2021-07-15,31780.73137404
2021-07-16,31421.53845398
2021-07-17,31533.06753327
2021-07-18,31796.81013825
2021-07-19,30817.83165619
2021-07-20,29807.34767271
2021-07-21,32110.69326387
2021-07-22,32313.10632477
2021-07-23,33581.55060854
2021-07-24,34292.44590612
2021-07-25,35350.18697353
2021-07-26,37337.5333134
2021-07-27,39406.9409837
2021-07-28,39995.90646862
2021-07-29,40008.42084653
2021-07-30,42235.54770874
2021-07-31,41626.19567624
2021-08-01,39974.89602594
2021-08-02,39201.945189
2021-08-03,38152.9820898
2021-08-04,39747.50501675
2021-08-05,40869.55432742
2021-08-06,42816.49896809
2021-08-07,44555.8006644
2021-08-08,43798.11767796
2021-08-09,46365.40065035
2021-08-10,45585.03077231
2021-08-11,45593.63593071
2021-08-12,44428.28846681
2021-08-13,47793.32117908
2021-08-14,47096.94566198
2021-08-15,47047.00454195
2021-08-16,46004.4840786
2021-08-17,44695.35761921
